As Of Date,Complaint Id,Tax ID,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
11/25/2023,200602089,906472,Substantiated (Command Discipline),,08/28/2007,No,,,,,,Command Discipline - A
11/25/2023,202002726,949938,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Closed: Charges not served,03/24/2023,
11/25/2023,201705029,940837,Substantiated (Formalized Training),,04/28/2018,No,,,,,,Formalized Training
11/25/2023,201102140,919815,Substantiated (Charges),,04/28/2014,No,,,,,,Suspension: 62 days / Probation:
11/25/2023,201508032,955958,Substantiated (Formalized Training),,08/28/2016,No,,,,,,Instructions
11/25/2023,201907897,966278,Substantiated (Charges),,,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200202175,896243,Substantiated (Charges),,06/28/2005,No,,,,,,No penalty
11/25/2023,201905911,915231,Substantiated (Command Discipline A),,01/28/2021,No,,,,,,Command Discipline - A
11/25/2023,202004567,953735,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202004222,942271,Substantiated (Charges),Substantiated (Charges),,Yes,,,,"Closed: Retained, without discipline",05/02/2022,
11/25/2023,201211468,920679,Substantiated (Charges),,,Yes,Dismissal Probation,,,Closed: Not guilty after trial,10/14/2015,
11/25/2023,201503943,923086,Substantiated (Command Discipline A),,11/28/2016,No,,,,,,No penalty
11/25/2023,201208698,949650,Substantiated (Charges),,,Yes,,,Instructions,"Closed: Plea set aside, Instructions",02/02/2015,Instructions
11/25/2023,200500387,900698,Substantiated (Charges),,11/28/2006,No,,,,,,
11/25/2023,201709153,956916,Substantiated (Command Lvl Instructions),,03/28/2019,No,,,,,,No penalty
11/25/2023,200001015,904325,Substantiated (Command Discipline),,,No,,,,,,
11/25/2023,202204727,969431,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,201509517,949691,Substantiated (Command Discipline A),,02/28/2017,No,,,,,,Command Discipline - A
11/25/2023,201400676,942655,Substantiated (Command Discipline B),,,No,,,,,,
11/25/2023,201603250,958073,Substantiated (Formalized Training),,08/28/2017,No,,,,,,Formalized Training
11/25/2023,201410712,950376,Substantiated (Command Discipline B),,04/28/2016,No,,,,,,Command Discipline - A
11/25/2023,201807540,955875,Substantiated (Command Lvl Instructions),,06/28/2019,No,,,,,,Resigned
11/25/2023,202205115,967457,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,201209205,929448,Substantiated (Charges),,,Yes,Forfeit vacation 10 days,,,Closed: Not guilty after trial,10/10/2014,
